frame,metric,arm,baseline,n,arm_value,baseline_value,median_diff,mean_diff,p_raw,p_holm
WLI,dice,early_fusion_wli,wli_only,77,0.6322201220204011,0.719249764734313,-0.07069776455561327,-0.08702964271391199,1.6972281870830941e-09,1.3577825496664753e-08
WLI,dice,mmd_fusion_w1.0,wli_only,77,0.6952727363163203,0.719249764734313,-0.010426878929138184,-0.02397702841799269,0.012756437381295983,0.08929506166907189
WLI,dice,mid_fusion,wli_only,77,0.7203737433392674,0.719249764734313,0.00891815622647596,0.0011239786049543278,0.27610244076214174,1.0
WLI,dice,mmd_fusion,wli_only,77,0.7189002043825412,0.719249764734313,0.007754623889923096,-0.00034956035177176597,0.9010002035054632,1.0
WLI,dice,mid_fusion_wide,wli_only,77,0.7181962576912893,0.719249764734313,0.005430241425832039,-0.0010535070430238208,0.7471351760965965,1.0
WLI,dice,mmd_fusion_w1e-4,wli_only,77,0.7115082390110989,0.719249764734313,0.005033026138941521,-0.007741525723214147,0.5043334687212768,1.0
WLI,dice,mmd_fusion_w0.01,wli_only,77,0.7105397198565196,0.719249764734313,0.004269142945607429,-0.008710044877793345,0.7898025539486775,1.0
WLI,dice,ours,wli_only,77,0.716482525683844,0.719249764734313,0.0019192099571228027,-0.0027672390504690286,0.7664422172209981,1.0
WLI,bf1,early_fusion_wli,wli_only,77,0.07738046909702145,0.13764793956740917,-0.05603936188018664,-0.06026747047038771,2.1620289689734664e-11,1.729623175178773e-10
WLI,bf1,mmd_fusion_w1.0,wli_only,77,0.12074549122975713,0.13764793956740917,-0.01649189697695691,-0.016902448337652067,0.009126488461799663,0.05475893077079798
WLI,bf1,mmd_fusion_w0.01,wli_only,77,0.12112293829245435,0.13764793956740917,-0.00954421156475535,-0.01652500127495486,0.004221037674946783,0.02954726372462748
WLI,bf1,mid_fusion_wide,wli_only,77,0.13106370527151096,0.13764793956740917,-0.007477058815843457,-0.006584234295898232,0.2851567348494145,1.0
WLI,bf1,mmd_fusion_w1e-4,wli_only,77,0.12983629374734557,0.13764793956740917,-0.006369849200476729,-0.007811645820063574,0.1184480083551203,0.5922400417756015
WLI,bf1,mid_fusion,wli_only,77,0.13492848635114016,0.13764793956740917,-0.004813468299745383,-0.0027194532162690063,0.8529721346036876,1.0
WLI,bf1,ours,wli_only,77,0.14299855084457527,0.13764793956740917,0.002217944817773286,0.005350611277166075,0.37287796293560616,1.0
WLI,bf1,mmd_fusion,wli_only,77,0.13831738486268558,0.13764793956740917,0.0011965823718502015,0.0006694452952764109,0.7780973176534878,1.0
WLI,bf2,early_fusion_wli,wli_only,77,0.11784342301642872,0.19850329782332626,-0.06229881305835186,-0.08065987480689758,2.4836360182320282e-11,1.9869088145856225e-10
WLI,bf2,mmd_fusion_w1.0,wli_only,77,0.17444141609240968,0.19850329782332626,-0.017563604572448988,-0.024061881730916557,0.0019700134850048046,0.011820080910028827
WLI,bf2,mmd_fusion_w0.01,wli_only,77,0.17480378832141058,0.19850329782332626,-0.014912525107013574,-0.023699509501915676,0.0006880762317688164,0.004816533622381715
WLI,bf2,mid_fusion_wide,wli_only,77,0.18678430934279838,0.19850329782332626,-0.007398981808989069,-0.01171898848052788,0.21444300030975028,0.8577720012390011
WLI,bf2,mid_fusion,wli_only,77,0.1950207800707288,0.19850329782332626,-0.0060743315951239385,-0.0034825177525974883,0.7241754399330793,1.0
WLI,bf2,mmd_fusion_w1e-4,wli_only,77,0.18724053824507686,0.19850329782332626,-0.005891282177466303,-0.011262759578249413,0.053992253157508115,0.2699612657875406
WLI,bf2,mmd_fusion,wli_only,77,0.19927700268289886,0.19850329782332626,-0.004385013870933457,0.0007737048595725853,0.5644174898376426,1.0
WLI,bf2,ours,wli_only,77,0.20260402146308512,0.19850329782332626,0.0035449744472015876,0.004100723639758886,0.5108389187621677,1.0
WLI,bf3,early_fusion_wli,wli_only,77,0.15709858149392625,0.25045545387654783,-0.07415221050129164,-0.09335687238262158,4.307627171068443e-11,3.4461017368547545e-10
WLI,bf3,mmd_fusion_w1.0,wli_only,77,0.22422675474838508,0.25045545387654783,-0.01760793325932239,-0.026228699128162752,0.003420731648683092,0.020524389892098552
WLI,bf3,mmd_fusion_w0.01,wli_only,77,0.22559690952626396,0.25045545387654783,-0.016876317282417674,-0.024858544350283836,0.0019036198992566403,0.013325339294796483
WLI,bf3,mid_fusion_wide,wli_only,77,0.23818482796070092,0.25045545387654783,-0.012483389194092781,-0.01227062591584686,0.23378472770756664,0.9351389108302666
WLI,bf3,mmd_fusion_w1e-4,wli_only,77,0.23822893989906924,0.25045545387654783,-0.012390280406705922,-0.012226513977478514,0.052121228975260454,0.2606061448763023
WLI,bf3,mmd_fusion,wli_only,77,0.2515725174386112,0.25045545387654783,-0.007435352779409099,0.0011170635620633797,0.5644174898376426,1.0
WLI,bf3,mid_fusion,wli_only,77,0.24827611350552684,0.25045545387654783,-0.00495543231621462,-0.0021793403710210183,0.7127864754923625,1.0
WLI,bf3,ours,wli_only,77,0.25487371495715266,0.25045545387654783,0.003503788514431394,0.004418261080604898,0.664198814407005,1.0
WLI,bf5,early_fusion_wli,wli_only,77,0.2243007436003281,0.3299915591403978,-0.09730605353367092,-0.10569081554006962,1.0052849693812258e-10,8.042279755049806e-10
WLI,bf5,mmd_fusion_w1.0,wli_only,77,0.30372972299606804,0.3299915591403978,-0.020943695073939922,-0.026261836144329757,0.01389243370556103,0.09319610336210474
WLI,bf5,mmd_fusion_w0.01,wli_only,77,0.3051701104563164,0.3299915591403978,-0.016743990216926186,-0.02482144868408125,0.013313729051729247,0.09319610336210474
WLI,bf5,mid_fusion_wide,wli_only,77,0.31650604905967034,0.3299915591403978,-0.012920769712737923,-0.013485510080727351,0.2991108627986423,1.0
WLI,bf5,mmd_fusion,wli_only,77,0.3332529784737307,0.3299915591403978,-0.011757442678128227,0.0032614193333330038,0.8015554145388777,1.0
WLI,bf5,mmd_fusion_w1e-4,wli_only,77,0.3169698998462308,0.3299915591403978,-0.009744404356819322,-0.013021659294166913,0.13750168567906754,0.6875084283953377
WLI,bf5,ours,wli_only,77,0.33465367101589544,0.3299915591403978,-0.004816374489950814,0.004662111875497611,0.7165758339374655,1.0
WLI,bf5,mid_fusion,wli_only,77,0.3291360574893261,0.3299915591403978,-0.002904141341489086,-0.0008555016510716542,0.9413101536294678,1.0
WLI,nsd3,early_fusion_wli,wli_only,77,0.15645226524009015,0.24963024675684728,-0.07505023736546418,-0.09317798151675727,3.629153902445509e-11,2.9033231219564074e-10
WLI,nsd3,mmd_fusion_w1.0,wli_only,77,0.22378101991656438,0.24963024675684728,-0.017131977300020917,-0.025849226840282995,0.003895032594638753,0.023370195567832517
WLI,nsd3,mmd_fusion_w0.01,wli_only,77,0.224936217482219,0.24963024675684728,-0.015624330662992736,-0.024694029274628312,0.001807875297904099,0.012655127085328692
WLI,nsd3,mid_fusion_wide,wli_only,77,0.23729034954162945,0.24963024675684728,-0.013427549994337179,-0.01233989721521786,0.23378472770756664,0.9351389108302666
WLI,nsd3,mmd_fusion_w1e-4,wli_only,77,0.23756439669939397,0.24963024675684728,-0.011355327092723466,-0.012065850057453333,0.05273878518447914,0.2636939259223957
