epoch,train_loss,val_dice,train_mmd
0,1.274647561709086,0.4305993607112517,0.03387237762411435
1,1.0937573115030925,0.553530261445281,0.034070675571759544
2,1.075740400950114,0.6188366654024376,0.036558650558193524
3,1.0476105014483135,0.6434807073327811,0.03909874086578687
4,1.0432625929514567,0.6884616833181728,0.036579724152882895
5,0.994200615088145,0.6665268756449223,0.0361372930308183
6,0.984345010916392,0.6664802636979151,0.0391864205400149
7,0.968521507581075,0.6871420815610845,0.037761734798550606
8,0.9696678876876831,0.6778224999730499,0.03783667211731275
9,0.9567424535751343,0.6860568088813718,0.03688271145025889
10,0.9274768551190694,0.6824838723017012,0.03910243933399518
11,0.9576291044553121,0.6858987890203097,0.035602923731009165
