epoch,train_loss,val_dice,train_mmd
0,1.2851604620615642,0.4250190703353534,0.03382997363805771
1,1.1028221607208253,0.5864167305078734,0.034047757958372435
2,1.0883997201919555,0.5867989597919707,0.03740658909082413
3,1.0595822056134543,0.639707030646207,0.03783058673143387
4,1.0515025854110718,0.6676674126341637,0.036255246649185814
5,1.0051130453745525,0.6582650861397438,0.036285396416982016
6,0.9945761601130167,0.6637540708019839,0.03840846891204516
7,0.9811424732208252,0.6762687042385954,0.037958297630151114
8,0.9834732492764791,0.6794232405748318,0.036827157437801364
9,0.9678975105285644,0.6882356656121463,0.03660947332779566
10,0.9389749805132548,0.6878278871401972,0.03840413490931193
11,0.9693313995997112,0.6860337366685004,0.03633684143424034
