epoch,train_loss,val_dice,train_mmd
0,1.3096461455027262,0.42566254693083466,0.03408105770746867
1,1.1282169977823893,0.5879109140718716,0.034247682864467305
2,1.1248971064885458,0.5844269150630377,0.036557794610659285
3,1.092495608329773,0.6522085790218386,0.04591493507226308
4,1.0965829730033874,0.6239587798754156,0.05119101107120514
5,1.058886432647705,0.6526435327410965,0.059954051425059635
6,1.0563045461972556,0.6617103534451584,0.05541217947999636
7,1.0482689340909321,0.7024496237450842,0.06434298530220986
8,1.0524348457654318,0.7025713329535513,0.06277796054879824
9,1.0268349806467691,0.684645915528602,0.0516083891193072
10,1.0019403417905173,0.7061003535997619,0.05741433675090472
11,1.0317766745885213,0.7077538142611881,0.051926810294389725
