epoch,train_loss,val_dice,train_mmd
0,1.274044684569041,0.4328954473603517,0.03397147233287493
1,1.0898775815963746,0.5765367819325432,0.03413620168964068
2,1.0725399613380433,0.6066034999547056,0.03714057964583238
3,1.0484997312227884,0.636389338598338,0.03939362739523252
4,1.044897739092509,0.663992739621123,0.03692163477341334
5,0.9946502804756164,0.6648711927259384,0.03593391453226407
6,0.9876287659009297,0.6645355589713339,0.039512394741177556
7,0.9702428420384724,0.6823507699184119,0.03894782215356827
8,0.9723931471506755,0.6753118536149092,0.03786153395970662
9,0.9578654249509175,0.6790359518822818,0.03687057321270307
10,0.9256233334541321,0.6800066457455817,0.039803540458281834
11,0.9575425585110983,0.683059640478955,0.036189233884215355
